,created_at,retweet_count,favorite_count,rating_numerator,rating_denominator,dog_breed,display_text_range,entities_size_large_w,entities_size_large_h
284,2017-02-02 01:01:21+00:00,4521,19780,12,10,golden_retriever,74,1246,2048
285,2017-02-01 17:44:55+00:00,9184,33157,13,10,great_pyrenees,137,372,279
286,2017-02-01 01:09:42+00:00,2147,9210,13,10,french_bulldog,76,1536,2048
287,2017-01-31 17:06:32+00:00,3835,16911,12,10,german_shepherd,133,1152,2048
288,2017-01-31 01:27:39+00:00,2382,12172,11,10,french_bulldog,115,1536,2048
289,2017-01-30 23:05:46+00:00,844,4478,13,10,labrador_retriever,117,1482,2047
290,2017-01-30 17:10:04+00:00,2822,14364,13,10,golden_retriever,76,1117,1757
291,2017-01-30 01:21:19+00:00,1712,9653,11,10,unknown,107,768,1024
292,2017-01-29 22:15:05+00:00,2295,11705,12,10,great_pyrenees,116,1860,2048
293,2017-01-29 02:44:34+00:00,15989,52201,14,10,rottweiler,119,2048,1536
294,2017-01-28 01:04:51+00:00,4114,16799,13,10,pekinese,111,1152,2048
295,2017-01-27 17:04:02+00:00,1156,5755,12,10,eskimo_dog,141,1000,1698
296,2017-01-27 00:24:48+00:00,3219,13708,12,10,border_terrier,133,1536,2048
297,2017-01-26 17:02:56+00:00,1622,9681,13,10,english_setter,104,2048,1991
298,2017-01-25 18:38:36+00:00,9676,10891,13,10,pembroke,56,550,367
299,2017-01-25 16:45:05+00:00,3514,13888,11,10,unknown,83,642,266
300,2017-01-24 17:04:50+00:00,2488,9772,12,10,schipperke,80,1536,2048
301,2017-01-24 01:08:40+00:00,2282,12738,12,10,cairn,136,2048,2048
302,2017-01-23 17:20:14+00:00,2403,11914,11,10,german_shepherd,107,1536,2048
303,2017-01-23 00:13:17+00:00,3657,14440,11,10,chihuahua,107,1438,2048
304,2017-01-22 01:12:59+00:00,3140,15936,12,10,pembroke,119,2048,2048
305,2017-01-21 18:26:02+00:00,39200,120732,13,10,lakeland_terrier,88,2048,1536
306,2017-01-21 17:31:20+00:00,2078,12111,12,10,malinois,123,1536,2048
307,2017-01-21 01:02:48+00:00,2675,13615,12,10,cocker_spaniel,124,1536,2048
308,2017-01-20 17:00:46+00:00,5858,16700,13,10,samoyed,95,1536,2048
309,2017-01-20 15:17:01+00:00,12948,25798,14,10,pomeranian,137,1024,722
310,2017-01-20 00:50:15+00:00,9079,32253,11,10,samoyed,96,1152,2048
311,2017-01-19 01:04:45+00:00,2109,10389,13,10,golden_retriever,54,1528,2048
312,2017-01-18 17:07:18+00:00,1538,7692,13,10,golden_retriever,83,1152,1442
313,2017-01-18 01:01:34+00:00,1614,7381,13,10,doberman,118,1653,2048
314,2017-01-17 17:21:47+00:00,3939,10855,14,10,irish_setter,115,568,320
315,2017-01-17 00:18:04+00:00,1797,7911,12,10,german_shepherd,63,720,1280
316,2017-01-16 21:32:06+00:00,1935,8805,11,10,pomeranian,131,1536,2048
